None,,arfA,arfA,arfA,mscL,mscL,mscL,arfA,arfA,arfA,mscL,mscL,mscL,common,common
Lelliottia nimipressuralis,69220,A0A2L2JEQ7,A0A2L2JEQ7_9ENTR,AVH18347.1,A0A2L2JFB7,A0A2L2JFB7_9ENTR,AVH18348.1,3017517.0,3017759.0,False,3017733.0,3018143.0,True,26,0.9
Lelliottia sp. 7254-16,2080842,A0A2S5C2S4,A0A2S5C2S4_9ENTR,POZ14816.1,A0A2S5C2V1,A0A2S5C2V1_9ENTR,POZ14817.1,16595.0,16804.0,False,16811.0,17224.0,True,-7,0.9
Lelliottia sp. WB101,2153385,A0A2S0PJ28,A0A2S0PJ28_9ENTR,AVY97391.1,A0A2S0PJ52,A0A2S0PJ52_9ENTR,AVY97392.1,1416950.0,1417165.0,False,1417166.0,1417579.0,True,-1,0.9
Kosakonia arachidis,551989,A0A1I7EBJ4,A0A1I7EBJ4_9ENTR,SFU21235.1,A0A1I7EB99,A0A1I7EB99_9ENTR,SFU21230.1,9779.0,9991.0,True,9365.0,9778.0,False,-1,0.9
Kluyvera intermedia (Enterobacter intermedius),61648,A0A1X0X4Y9,A0A1X0X4Y9_KLUIN,ORJ47883.1,A0A1X0X4S2,A0A1X0X4S2_KLUIN,ORJ47882.1,9551.0,9766.0,True,9137.0,9550.0,False,-1,0.9
Kluyvera georgiana ATCC 51603,1354264,A0A1B7K773,A0A1B7K773_9ENTR,OAT55932.1,A0A1B7K735,A0A1B7K735_9ENTR,OAT55933.1,16453.0,16668.0,False,16669.0,17079.0,True,-1,0.9
Kluyvera ascorbata ATCC 33433,1006000,A0A085HYU5,A0A085HYU5_9ENTR,KFD01141.1,A0A085HYU6,A0A085HYU6_9ENTR,KFD01142.1,17188.0,17403.0,False,17404.0,17814.0,True,-1,0.9
Kluyvera ascorbata,51288,A0A2T2XVS4,A0A2T2XVS4_9ENTR,PSR44347.1,A0A2T2XVW3,A0A2T2XVW3_9ENTR,PSR44348.1,16659.0,16874.0,False,16875.0,17285.0,True,-1,0.9
Klebsiella variicola,244366,A0A264BVK2,A0A264BVK2_KLEVA,PLP46484.1,A0A087FK10,A0A087FK10_KLEVA,PLP46483.1,506.0,784.0,True,157.0,570.0,False,64,0.9
Klebsiella sp. RIT-PI-d,1681196,A0A0L0AS72,A0A0L0AS72_9ENTR,KNC10587.1,A0A0L0ASJ8,A0A0L0ASJ8_9ENTR,KNC10588.1,31642.0,31881.0,False,31856.0,32269.0,True,25,0.9
Klebsiella quasivariicola,2026240,A0A223U5D1,A0A223U5D1_9ENTR,ASV18191.1,A0A223U563,A0A223U563_9ENTR,ASV18192.1,440928.0,441206.0,False,441142.0,441555.0,True,64,0.9
Klebsiella quasipneumoniae,1463165,A0A2J3CWI3,A0A2J3CWI3_9ENTR,PLJ02153.1,A0A2N4VVV6,A0A2N4VVV6_9ENTR,PLJ02152.1,9338.0,9616.0,True,8989.0,9402.0,False,64,0.9
Klebsiella pneumoniae subsp. rhinoscleromatis SB3432,861365,R4YFT4,R4YFT4_KLEPR,CCI79101.1,R4YJ05,R4YJ05_KLEPR,CCI79100.1,4989698.0,4989976.0,True,4989349.0,4989762.0,False,64,0.9
Klebsiella pneumoniae subsp. rhinoscleromatis ATCC 13884,667127,C8T056,C8T056_KLEPR,EEW42933.1,C8T057,C8T057_KLEPR,EEW42934.1,252.0,530.0,False,466.0,879.0,True,64,0.9
Klebsiella pneumoniae subsp. pneumoniae,72407,A0A2W0ZK10,A0A2W0ZK10_KLEPN,PQW63204.1,A0A2W0Z3Y8,A0A2W0Z3Y8_KLEPN,PQW63205.1,16518.0,16796.0,False,16732.0,17145.0,True,64,0.9
Klebsiella pneumoniae,573,A0A0W8A7Y0,A0A0W8A7Y0_KLEPN,AVB70243.1,A0A0J4XLF3,A0A0J4XLF3_KLEPN,AVB70244.1,441775.0,442053.0,False,441989.0,442402.0,True,64,0.9
Klebsiella oxytoca (strain ATCC 8724 / DSM 4798 / JCM 20051 / NBRC 3318 / NRRL B-199 / KCTC 1686),1006551,A0A0H3H2F0,A0A0H3H2F0_KLEOK,AEX02583.1,A0A0H3H4P6,A0A0H3H4P6_KLEOK,AEX02582.1,885875.0,886114.0,True,885487.0,885900.0,False,25,0.9
Klebsiella oxytoca,571,A0A168LHM6,A0A168LHM6_KLEOX,SAQ13805.1,A0A163YY27,A0A163YY27_KLEOX,SAQ13802.1,9515.0,9730.0,True,9101.0,9514.0,False,-1,0.9
Klebsiella michiganensis,1134687,A0A0J2HAM4,A0A0J2HAM4_9ENTR,PLP31925.1,A0A249WIT3,A0A249WIT3_9ENTR,PLP31924.1,2075.0,2335.0,True,1708.0,2121.0,False,46,0.9
Klebsiella aerogenes (strain ATCC 13048 / DSM 30053 / JCM 1235 / KCTC 2190 / NBRC 13534 / NCIMB 10102 / NCTC 10006) (Enterobacter aerogenes),1028307,A0A0H3FKG7,A0A0H3FKG7_KLEAK,AEG95889.1,A0A0H3FSV9,A0A0H3FSV9_KLEAK,AEG95888.1,1007346.0,1007561.0,True,1006935.0,1007345.0,False,-1,0.9
Providencia rustigianii DSM 4541,500637,D1P7V7,D1P7V7_9GAMM,EFB70508.1,D1P7V6,D1P7V6_9GAMM,EFB70507.1,9540.0,9740.0,True,9126.0,9539.0,False,-1,0.9
Providencia stuartii (strain MRSN 2154),1157951,A0A140NNC9,A0A140NNC9_PROSM,AFH94148.1,A0A140NL02,A0A140NL02_PROSM,AFH94149.1,2461530.0,2461730.0,False,2461733.0,2462143.0,True,-3,0.9
Escherichia coli O25b:H4-ST131,941322,W8ZPK3,W8ZPK3_ECOLX,CDN84029.1,W8ZX40,W8ZX40_ECOLX,CDN84028.1,3733343.0,3733561.0,True,3732933.0,3733346.0,False,3,0.9
Shigella flexneri,623,A0A2A2XFX2,A0A2A2XFX2_SHIFL,PAY68066.1,A0A2A2XFX3,A0A2A2XFX3_SHIFL,PAY68067.1,31592.0,31810.0,False,31807.0,32217.0,True,3,0.9
Shigella boydii,621,A0A2S8DVB9,A0A2S8DVB9_SHIBO,PQN37817.1,A0A2S8DVC7,A0A2S8DVC7_SHIBO,PQN37818.1,26197.0,26415.0,False,26412.0,26822.0,True,3,0.9
Shigella boydii ATCC 9905,932676,E7SRT4,E7SRT4_9ENTR,EFW57597.1,E7SRT5,E7SRT5_9ENTR,EFW57598.1,10419.0,10637.0,False,10634.0,11044.0,True,3,0.9
Shigella boydii serotype 4 (strain Sb227),300268,Q31VY5,Q31VY5_SHIBS,ABB67773.1,Q31VY6,MSCL_SHIBS,ABB67772.1,3286713.0,3286931.0,True,3286306.0,3286716.0,False,3,0.9
Shigella dysenteriae,622,A0A2S8E910,A0A2S8E910_SHIDY,PQN54332.1,A0A1S9K0Y5,A0A1S9K0Y5_SHIDY,PQN54333.1,395494.0,395712.0,False,395709.0,396119.0,True,3,0.9
Shigella dysenteriae 1617,754093,A0A0A6ZZ95,A0A0A6ZZ95_SHIDY,AHA67413.1,E2X885,E2X885_SHIDY,AHA67412.1,3170891.0,3171109.0,True,3170484.0,3170894.0,False,3,0.9
Shigella dysenteriae WRSd3,1401327,A0A090NJP6,A0A090NJP6_SHIDY,ESU80404.1,A0A090NJ63,A0A090NJ63_SHIDY,ESU80405.1,16440.0,16658.0,False,16655.0,17065.0,True,3,0.9
Shigella flexneri 1235-66,766154,I6FAG6,I6FAG6_SHIFL,EIQ53258.1,I6FAG7,I6FAG7_SHIFL,EIQ53259.1,6212.0,6385.0,False,6426.0,6839.0,True,-41,0.9
Siccibacter turicensis,357233,A0A2P8VE94,A0A2P8VE94_9ENTR,PSN05869.1,A0A2P8VFI6,A0A2P8VFI6_9ENTR,PSN05868.1,9807.0,10013.0,True,9389.0,9799.0,False,-8,0.9
Shigella sonnei,624,A0A237EVT2,A0A237EVT2_SHISO,OYE54511.1,A0A236VA72,A0A236VA72_SHISO,OYE54512.1,16486.0,16704.0,False,16701.0,17111.0,True,3,0.9
Shigella sonnei (strain Ss046),300269,Q3YWW8,Q3YWW8_SHISS,AAZ89994.1,Q3YWW9,MSCL_SHISS,AAZ89993.1,3611231.0,3611449.0,True,3610824.0,3611234.0,False,3,0.9
Shigella sp. FC1655,1898038,A0A1D3DFX4,A0A1D3DFX4_9ENTR,OEI93444.1,A0A1D3DFV3,A0A1D3DFV3_9ENTR,OEI93445.1,15824.0,16030.0,False,16034.0,16441.0,True,-4,0.9
Shigella sp. FC2928,1886517,A0A1E2VI47,A0A1E2VI47_9ENTR,ODG79133.1,A0A1E2VHQ9,A0A1E2VHQ9_9ENTR,ODG79132.1,9619.0,9837.0,True,9212.0,9622.0,False,3,0.9
Shigella sp. FC569,1892897,A0A1E3N063,A0A1E3N063_9ENTR,ODQ08528.1,A0A1E3N2R8,A0A1E3N2R8_9ENTR,ODQ08529.1,27114.0,27332.0,False,27329.0,27742.0,True,3,0.9
Shigella sp. PAMC 28760,1813821,A0A142H7E6,A0A142H7E6_9ENTR,AMR24804.1,A0A142H7E5,A0A142H7E5_9ENTR,AMR24803.1,4079727.0,4079945.0,True,4079320.0,4079730.0,False,3,0.9
Serratia sp. YD25,1759437,A0A1B3FHE0,A0A1B3FHE0_9GAMM,AOF01221.1,A0A1B3FHH1,A0A1B3FHH1_9GAMM,AOF01220.1,4060301.0,4060507.0,True,4059827.0,4060243.0,False,-58,0.9
Serratia sp. S1B,2233853,A0A2V1H7L9,A0A2V1H7L9_9GAMM,PVZ80663.1,A0A2V1H7S1,A0A2V1H7S1_9GAMM,PVZ80662.1,9744.0,9950.0,True,9311.0,9721.0,False,-23,0.9
Serratia sp. OLAL2,1931999,A0A2G7ZX60,A0A2G7ZX60_9GAMM,PIJ17867.1,A0A2G7ZXF5,A0A2G7ZXF5_9GAMM,PIJ17868.1,16191.0,16397.0,False,16455.0,16871.0,True,-58,0.9
Serratia sp. Nf2,2116540,A0A2T3WDS5,A0A2T3WDS5_9GAMM,PTA73990.1,A0A2T3WDQ7,A0A2T3WDQ7_9GAMM,PTA73989.1,9677.0,9883.0,True,9202.0,9618.0,False,-59,0.9
Serratia sp. MYb239,2033438,A0A2R3H6S8,A0A2R3H6S8_9GAMM,AVJ19589.1,A0A2R3H6J5,A0A2R3H6J5_9GAMM,AVJ19588.1,4584119.0,4584325.0,True,4583651.0,4584064.0,False,-55,0.9
Serratia sp. M24T3,932213,I0QLS9,I0QLS9_9GAMM,EIC82252.1,I0QLT0,I0QLT0_9GAMM,EIC82253.1,16659.0,16850.0,False,16953.0,17369.0,True,-103,0.9
Serratia sp. Leaf51,1736224,A0A0Q4N014,A0A0Q4N014_9GAMM,KQN57076.1,A0A0Q4N4J9,A0A0Q4N4J9_9GAMM,KQN57077.1,17085.0,17285.0,False,17314.0,17730.0,True,-29,0.9
Serratia sp. Leaf50,1736223,A0A0Q4M7Y7,A0A0Q4M7Y7_9GAMM,KQN49611.1,A0A0Q4MJD9,A0A0Q4MJD9_9GAMM,KQN49610.1,9667.0,9858.0,True,9171.0,9584.0,False,-83,0.9
Serratia sp. LCN16,1805627,A0A0X2PE79,A0A0X2PE79_9GAMM,CUW24671.1,A0A0X2PDD3,A0A0X2PDD3_9GAMM,CUW24670.1,9200.0,9406.0,True,8727.0,9143.0,False,-57,0.9
Serratia sp. FGI94,671990,L0MKL3,L0MKL3_9GAMM,AGB84418.1,L0MM50,L0MM50_9GAMM,AGB84417.1,4485272.0,4485478.0,True,4484803.0,4485216.0,False,-56,0.9
Serratia sp. DD3,1410619,A0A084A0A2,A0A084A0A2_9GAMM,KEY58731.1,A0A084A0A3,A0A084A0A3_9GAMM,KEY58732.1,117292.0,117498.0,False,117521.0,117931.0,True,-23,0.9
Serratia sp. Ag1,1524467,A0A087L3V8,A0A087L3V8_9GAMM,KFK99310.1,A0A087L3V9,A0A087L3V9_9GAMM,KFK99311.1,109321.0,109527.0,False,109581.0,109994.0,True,-54,0.9
Serratia sp. 14-2641,1841657,A0A1C7W9T8,A0A1C7W9T8_9GAMM,OCJ29995.1,A0A1C7W5S1,A0A1C7W5S1_9GAMM,OCJ29994.1,9582.0,9788.0,True,9113.0,9529.0,False,-53,0.9
Serratia sp. (strain ATCC 39006),104623,A0A2I5TG25,A0A2I5TG25_SERS3,AUH03521.1,A0A2I5T3R5,A0A2I5T3R5_SERS3,AUH03522.1,1028891.0,1029121.0,False,1029247.0,1029657.0,True,-126,0.9
Serratia rubidaea (Serratia marinorubra),61652,A0A126VE52,A0A126VE52_SERRU,AML56623.1,A0A126VE55,A0A126VE55_SERRU,AML56624.1,955955.0,956161.0,False,956215.0,956622.0,True,-54,0.9
Serratia proteamaculans (strain 568),399741,A8GKH0,A8GKH0_SERP5,ABV43610.1,A8GKG9,MSCL_SERP5,ABV43609.1,5008688.0,5008894.0,True,5008214.0,5008630.0,False,-58,0.9
Serratia plymuthica S13,1348660,S4YPC6,S4YPC6_SERPL,AGP46305.1,S4YNJ1,S4YNJ1_SERPL,AGP46304.1,5026331.0,5026537.0,True,5025858.0,5026274.0,False,-57,0.9
Shimwellia blattae (strain ATCC 29907 / DSM 4481 / JCM 1650 / NBRC 105725 / CDC 9005-74) (Escherichia blattae),630626,I2B4J1,I2B4J1_SHIBC,AFJ45445.1,I2B4J2,I2B4J2_SHIBC,AFJ45446.1,323577.0,323816.0,False,323791.0,324204.0,True,25,0.9
Sodalis praecaptivus,1239307,W0HSS6,W0HSS6_9GAMM,AHF75562.1,W0HTU5,W0HTU5_9GAMM,AHF75563.1,499658.0,499906.0,False,499912.0,500373.0,True,-6,0.9
Serratia oryzae,2034155,A0A1S8CGJ3,A0A1S8CGJ3_9GAMM,OMQ21172.1,A0A1S8CHE4,A0A1S8CHE4_9GAMM,OMQ21173.1,219902.0,220108.0,False,220170.0,220586.0,True,-62,0.9
Yersinia wautersii,1341643,A0A0E8XKB9,A0A0E8XKB9_9GAMM,CRG51291.1,A0A0E8XPK1,A0A0E8XPK1_9GAMM,CRG51292.1,67709.0,67909.0,False,68019.0,68432.0,True,-110,0.9
Yersinia pestis bv. Antiqua (strain Nepal516),377628,A0A0H2YMH5,A0A0H2YMH5_YERPN,ABG20159.1,Q1CCX2,MSCL_YERPN,ABG20158.1,4383759.0,4383959.0,True,4383236.0,4383649.0,False,-110,0.9
Yersinia pseudotuberculosis,633,A0A0T9KLU7,A0A0T9KLU7_YERPU,PSH22691.1,A0A0T9JIM3,A0A0T9JIM3_YERPU,PSH22690.1,9715.0,9915.0,True,9192.0,9605.0,False,-110,0.9
Yersinia pseudotuberculosis serotype I (strain IP32953),273123,Q664U9,Q664U9_YERPS,CAH22908.1,Q664V0,MSCL_YERPS,CAH22907.1,4382689.0,4382889.0,True,4382166.0,4382579.0,False,-110,0.9
Yersinia pseudotuberculosis serotype O:3 (strain YPIII),502800,A0A0H3AZA1,A0A0H3AZA1_YERPY,ACA66624.1,A0A0H3AX54,A0A0H3AX54_YERPY,ACA66625.1,333984.0,334184.0,False,334294.0,334698.0,True,-110,0.9
Yersinia rohdei,29485,A0A0U1HXW3,A0A0U1HXW3_YERRO,CQI97290.1,A0A0U1HXZ1,A0A0U1HXZ1_YERRO,CQI97292.1,29672.0,29878.0,False,29931.0,30341.0,True,-53,0.9
Yersinia ruckeri,29486,A0A085U6S7,A0A085U6S7_YERRU,CEK26096.1,A0A085U6S6,A0A085U6S6_YERRU,CEK26097.1,328400.0,328606.0,False,328668.0,329078.0,True,-62,0.9
Yersiniaceae bacterium 2015Iso6,2060067,A0A2N5DVB3,A0A2N5DVB3_9GAMM,PLR30958.1,A0A2N5DV97,A0A2N5DV97_9GAMM,PLR30957.1,9717.0,9896.0,True,9261.0,9671.0,False,-46,0.9
Sodalis sp. TME1,1912097,A0A1J7C675,A0A1J7C675_9GAMM,OIV46317.1,A0A1J7CXQ6,A0A1J7CXQ6_9GAMM,OIV46316.1,2962.0,3225.0,True,2511.0,2972.0,False,10,0.9
Yersiniaceae bacterium 2016Iso3,2060066,A0A2N5EHS8,A0A2N5EHS8_9GAMM,PLR43852.1,A0A2N5EHV1,A0A2N5EHV1_9GAMM,PLR43851.1,9467.0,9646.0,True,9011.0,9421.0,False,-46,0.9
Yokenella regensburgei,158877,A0A2I2B0V4,A0A2I2B0V4_9ENTR,PLA85253.1,A0A2I2B0V8,A0A2I2B0V8_9ENTR,PLA85252.1,9544.0,9759.0,True,9133.0,9543.0,False,-1,0.9
Yokenella regensburgei ATCC 43003,1002368,G9YZU2,G9YZU2_9ENTR,EHM50967.1,G9YZU1,G9YZU1_9ENTR,EHM50966.1,9436.0,9642.0,True,9016.0,9426.0,False,-10,0.9
[Kluyvera] intestini,1898961,A0A2U2I0W7,A0A2U2I0W7_9ENTR,PWF53386.1,A0A2U2I0X2,A0A2U2I0X2_9ENTR,PWF53387.1,4506255.0,4506470.0,False,4506471.0,4506884.0,True,-1,0.9
bacteria symbiont BFo1 of Frankliniella occidentalis,1628855,A0A0J8YGK5,A0A0J8YGK5_9BACT,KMV68495.1,A0A0J9B584,A0A0J9B584_9BACT,KMV68494.1,9570.0,9785.0,True,9114.0,9527.0,False,-43,0.9
human gut metagenome,408170,W1WLF6,W1WLF6_9ZZZZ,ETJ19052.1,W1WLN3,W1WLN3_9ZZZZ,ETJ19053.1,40266.0,40484.0,False,40481.0,40891.0,True,3,0.9
Yersinia pestis bv. Antiqua (strain Antiqua),360102,A0A0E1P2K6,A0A0E1P2K6_YERPA,ABG15198.1,Q1C2X5,MSCL_YERPA,ABG15197.1,3589705.0,3589905.0,True,3589182.0,3589595.0,False,-110,0.9
Yersinia pestis,632,Q0WK70,Q0WK70_YERPE,AAS60511.1,Q8ZJ83,MSCL_YERPE,AAS60512.1,235006.0,235206.0,False,235316.0,235738.0,True,-110,0.9
Yersinia mollaretii ATCC 43969,349967,C4SCH2,C4SCH2_YERMO,EEQ10668.1,C4SCH1,C4SCH1_YERMO,EEQ10667.1,9428.0,9628.0,True,8949.0,9368.0,False,-60,0.9
Yersinia mollaretii,33060,A0A0U1KIF8,A0A0U1KIF8_YERMO,CQR17279.1,A0A0U1KIG1,A0A0U1KIG1_YERMO,CQR17270.1,9512.0,9682.0,True,9020.0,9421.0,False,-91,0.9
Yersinia massiliensis,419257,A0A0T9R216,A0A0T9R216_9GAMM,CNI40562.1,A0A0T9R3N2,A0A0T9R3N2_9GAMM,CNI40592.1,124077.0,124277.0,False,124338.0,124748.0,True,-61,0.9
Yersinia kristensenii,28152,A0A0T9U8K5,A0A0T9U8K5_YERKR,CNL24163.1,A0A0T9U7I0,A0A0T9U7I0_YERKR,CNL24132.1,9454.0,9654.0,True,8995.0,9396.0,False,-58,0.9
Yersinia intermedia,631,A0A209ABL1,A0A209ABL1_YERIN,OVZ90122.1,A0A0T9MBP5,A0A0T9MBP5_YERIN,OVZ90123.1,94523.0,94723.0,False,94785.0,95195.0,True,-62,0.9
Yersinia frederiksenii,29484,A0A209AVE6,A0A209AVE6_YERFR,OVZ96734.1,A0A0T9UTY5,A0A0T9UTY5_YERFR,OVZ96733.1,9414.0,9620.0,True,8951.0,9361.0,False,-53,0.9
Yersinia entomophaga,935293,A0A210TJY3,A0A210TJY3_9GAMM,OWF85814.1,A0A210TK91,A0A210TK91_9GAMM,OWF85813.1,9713.0,9919.0,True,9252.0,9662.0,False,-51,0.9
Yersinia enterocolitica subsp. palearctica serotype O:3 (strain DSM 13030 / CIP 106945 / Y11),930944,A0A0H3P0Y2,A0A0H3P0Y2_YERE1,CBY29214.1,A0A0H3NW13,A0A0H3NW13_YERE1,CBY29211.1,3422993.0,3423199.0,False,3424838.0,3425248.0,True,-1639,0.9
Yersinia enterocolitica subsp. palearctica YE-P4,1329364,A0A2R9T612,A0A2R9T612_YEREN,EOR78153.1,A0A2R9T614,A0A2R9T614_YEREN,EOR78156.1,96646.0,96852.0,False,98491.0,98901.0,True,-1639,0.9
Yersinia enterocolitica serotype O:8 / biotype 1B (strain NCTC 13174 / 8081),393305,A1JRZ7,A1JRZ7_YERE8,CAL13913.1,A1JRZ6,MSCL_YERE8,CAL13912.1,4254769.0,4254975.0,True,4254305.0,4254715.0,False,-54,0.9
Yersinia enterocolitica LC20,1443113,A0A2K7ZCV9,A0A2K7ZCV9_YEREN,AHM71620.1,A0A2K7ZCW7,A0A2K7ZCW7_YEREN,AHM71621.1,343838.0,344038.0,False,344097.0,344507.0,True,-59,0.9
Yersinia enterocolitica,630,A0A2J9SEE6,A0A2J9SEE6_YEREN,PNM25399.1,A0A2J9SED6,A0A2J9SED6_YEREN,PNM25398.1,2990931.0,2991131.0,True,2990464.0,2990874.0,False,-57,0.9
Yersinia bercovieri,634,A0A2G4U2X0,A0A2G4U2X0_YERBE,PHZ27116.1,A0A2G4U1D8,A0A2G4U1D8_YERBE,PHZ27117.1,111546.0,111746.0,False,111804.0,112214.0,True,-58,0.9
Vibrio parahaemolyticus,670,A0A0M3E3E6,A0A0M3E3E6_VIBPH,KKY41090.1,A0A0M3E2W8,A0A0M3E2W8_VIBPH,KKY41089.1,9470.0,9688.0,True,9063.0,9473.0,False,3,0.9
Tatumella citrea (Pantoea citrea),53336,A0A1Y0L371,A0A1Y0L371_TATCI,ARU92447.1,A0A1Y0LEI6,A0A1Y0LEI6_TATCI,ARU92448.1,117685.0,117906.0,False,117926.0,118321.0,True,-20,0.9
Serratia plymuthica PRI-2C,1154756,A0A1B1KXH6,A0A1B1KXH6_SERPL,ANS45113.1,A0A1B1KXC9,A0A1B1KXC9_SERPL,ANS45112.1,5042778.0,5042984.0,True,5042307.0,5042720.0,False,-58,0.9
Serratia odorifera DSM 4582,667129,D4DYD3,D4DYD3_SEROD,EFE97408.1,D4DYD2,D4DYD2_SEROD,EFE97407.1,9421.0,9636.0,True,8958.0,9374.0,False,-47,0.9
Providencia stuartii ATCC 25827,471874,B2Q5Z6,B2Q5Z6_PROST,EDU57744.1,B2Q5Z5,B2Q5Z5_PROST,EDU57743.1,9008.0,9208.0,True,8595.0,9005.0,False,-3,0.9
Salmonella enterica subsp. enterica serovar Agona,58095,A0A2T9HRI6,A0A2T9HRI6_SALET,PVL86241.1,A0A2T9HRG0,A0A2T9HRG0_SALET,PVL86240.1,9455.0,9724.0,True,9106.0,9519.0,False,64,0.9
Salmonella choleraesuis,28901,A0A0W4L4S3,A0A0W4L4S3_SALCE,PEH20438.1,A0A0M0PQG9,A0A0M0PQG9_SALCE,PEH20439.1,16688.0,16957.0,False,16893.0,17306.0,True,64,0.9
Salmonella diarizonae,59204,A0A2I5HLU4,A0A2I5HLU4_SALDZ,ATW56556.1,A0A2I5HLW4,A0A2I5HLW4_SALDZ,ATW56555.1,3958711.0,3958980.0,True,3958362.0,3958775.0,False,64,0.9
Salmonella enterica I,59201,A0A221ZH73,A0A221ZH73_SALET,ASO61888.1,A0A0F7DJM5,A0A0F7DJM5_SALET,ASO61889.1,2812861.0,2813130.0,False,2813066.0,2813479.0,True,64,0.9
Salmonella enterica subsp. arizonae serovar 50:r:z,1974320,A0A1X2T2C1,A0A1X2T2C1_SALCE,OSE45891.1,A0A1X2T2F8,A0A1X2T2F8_SALCE,OSE45892.1,16651.0,16920.0,False,16856.0,17269.0,True,64,0.9
"Salmonella enterica subsp. arizonae serovar 51:g,z51:-",2172529,A0A2T9GV03,A0A2T9GV03_SALCE,PVL49925.1,A0A2T9GV46,A0A2T9GV46_SALCE,PVL49926.1,16607.0,16876.0,False,16812.0,17225.0,True,64,0.9
"Salmonella enterica subsp. enterica serovar 4,12:i:-",353569,A0A2T8R1N9,A0A2T8R1N9_SALET,PVI71105.1,A0A2T8R1S7,A0A2T8R1S7_SALET,PVI71106.1,16511.0,16780.0,False,16716.0,17129.0,True,64,0.9
Salmonella enterica subsp. enterica serovar Bareilly,58096,A0A2T9MDC5,A0A2T9MDC5_SALET,PVQ97824.1,A0A2T9MDD5,A0A2T9MDD5_SALET,PVQ97823.1,9741.0,10010.0,True,9392.0,9805.0,False,64,0.9
Salmonella enterica subsp. enterica serovar India str. SA20085604,1242098,A0A1Z3Q854,A0A1Z3Q854_SALET,ASD88035.1,A0A1Z3Q7S2,A0A1Z3Q7S2_SALET,ASD88034.1,3508059.0,3508328.0,True,3507710.0,3508123.0,False,64,0.9
Salmonella enterica subsp. enterica serovar Bovismorbificans,58097,A0A0T7RZY9,A0A0T7RZY9_SALET,CFW77418.1,A0A0T9Y7Q2,A0A0T9Y7Q2_SALET,CFW77419.1,16436.0,16705.0,False,16641.0,17054.0,True,64,0.9
Salmonella enterica subsp. enterica serovar Braenderup,149391,A0A2T9DZN9,A0A2T9DZN9_SALET,PVK29615.1,A0A2T9DZM6,A0A2T9DZM6_SALET,PVK29614.1,9699.0,9968.0,True,9350.0,9763.0,False,64,0.9
Salmonella enterica subsp. enterica serovar Cerro,340188,A0A2T9Q381,A0A2T9Q381_SALET,PVT71122.1,A0A2T9Q382,A0A2T9Q382_SALET,PVT71121.1,9455.0,9724.0,True,9106.0,9519.0,False,64,0.9
Salmonella enterica subsp. enterica serovar Concord,483687,A0A2R4D501,A0A2R4D501_SALET,AVS50434.1,A0A2R4D4V2,A0A2R4D4V2_SALET,AVS50435.1,110090.0,110359.0,False,110295.0,110708.0,True,64,0.9
Salmonella enterica subsp. enterica serovar Gallinarum str. SG9,909947,A0A0G2NUR2,A0A0G2NUR2_SALGL,EGE36453.1,A0A0G2NTU6,A0A0G2NTU6_SALGL,EGE36454.1,4234843.0,4235112.0,False,4235048.0,4235461.0,True,64,0.9
Salmonella enterica subsp. enterica serovar Give,46626,A0A2T9DWT6,A0A2T9DWT6_SALET,PVK28615.1,A0A2T9DWQ8,A0A2T9DWQ8_SALET,PVK28614.1,9495.0,9764.0,True,9146.0,9559.0,False,64,0.9
Salmonella bongori serovar 66:z41:- str. SA19983605,1243617,A0A248K5Y0,A0A248K5Y0_SALBN,ASG53164.1,A0A248K4Z4,A0A248K4Z4_SALBN,ASG53165.1,418927.0,419196.0,False,419132.0,419545.0,True,64,0.9
Salmonella anatum,58712,A0A2T8LRH5,A0A2T8LRH5_SALAN,PVI18535.1,A0A2T8LRH8,A0A2T8LRH8_SALAN,PVI18534.1,9678.0,9947.0,True,9329.0,9742.0,False,64,0.9
Rouxiella sp. ERMR1:05,1805933,A0A2L1UTD3,A0A2L1UTD3_9GAMM,AVF36134.1,A0A2L1UT59,A0A2L1UT59_9GAMM,AVF36133.1,3233708.0,3233992.0,True,3233345.0,3233761.0,False,53,0.9
Rouxiella silvae,1646373,A0A1X0VXE8,A0A1X0VXE8_9GAMM,ORJ19150.1,A0A1X0VX90,A0A1X0VX90_9GAMM,ORJ19151.1,16343.0,16534.0,False,16617.0,17030.0,True,-83,0.9
Rouxiella badensis,1646377,A0A1X0W9S3,A0A1X0W9S3_9GAMM,ORJ23493.1,A0A1X0W9M9,A0A1X0W9M9_9GAMM,ORJ23492.1,9622.0,9813.0,True,9135.0,9542.0,False,-80,0.9
Raoultella terrigena (Klebsiella terrigena),577,A0A1V2BDP4,A0A1V2BDP4_RAOTE,OMP89434.1,A0A1V2BDQ2,A0A1V2BDQ2_RAOTE,OMP89433.1,9912.0,10127.0,True,9498.0,9911.0,False,-1,0.9
Raoultella sp. T31,2054594,A0A2M9R9L9,A0A2M9R9L9_9ENTR,PJR58431.1,A0A2M9R9V5,A0A2M9R9V5_9ENTR,PJR58430.1,9596.0,9811.0,True,9182.0,9595.0,False,-1,0.9
Raoultella planticola (Klebsiella planticola),575,A0A263VZD0,A0A263VZD0_RAOPL,OZP70368.1,A0A263VYR1,A0A263VYR1_RAOPL,OZP70369.1,16583.0,16798.0,False,16799.0,17212.0,True,-1,0.9
